mesh size,L2 error,H1 error,Linf error,L2 rate,H1 rate,Linf rate
2.00E+00,2.93E-06,5.48E-06,5.68E-07,0.00E+00,0.00E+00,0.00E+00
1.00E+00,7.32E-07,2.43E-06,1.42E-07,2.00E+00,1.17E+00,2.00E+00
5.00E-01,1.83E-07,1.17E-06,3.55E-08,2.00E+00,1.05E+00,2.00E+00
2.50E-01,4.58E-08,5.81E-07,8.88E-09,2.00E+00,1.01E+00,2.00E+00
