dofs,h,L2,rateL2,H1,rateH1
9.100E+02,6.427E-02,5.936E-03,0.000E+00,5.296E-01,0.000E+00
3.444E+03,3.161E-02,1.372E-03,2.064E+00,2.556E-01,1.027E+00
1.364E+04,1.652E-02,3.357E-04,2.169E+00,1.266E-01,1.082E+00
